,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
23634,Private Garden,3,2,136.0,0,0,Madinaty,Not in Compound,1500000.0
23635,No,3,3,200.0,0,4,Rehab City,Not in Compound,2600000.0
23636,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Maids Room,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,200.0,0,2,Sheraton,Not in Compound,2350000.0
23637,No,3,3,250.0,0,2,Obour City,Not in Compound,1000000.0
23638,No,3,1,118.0,0,3,New Cairo - El Tagamoa,Not in Compound,352000.0
23639,"Electricity Meter,Water Meter,Natural Gas,Landline",3,2,200.0,0,3,New Cairo - El Tagamoa,Not in Compound,1350000.0
23640,"Balcony,Security,Covered Parking,Pets Allowed,Water Meter,Natural Gas,Landline,Elevator",3,3,162.0,0,4,Rehab City,Rehab City,2350000.0
23641,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,2,200.0,0,0,Zahraa Al Maadi,Not in Compound,1800000.0
23642,"Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,135.0,0,1,Shubra,Not in Compound,1350000.0
23643,"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,100.0,1,7,Shorouk City,Not in Compound,400000.0
23644,No,2,1,88.0,0,1,Nasr City,Not in Compound,360000.0
23646,No,2,1,86.0,0,2,New Cairo - El Tagamoa,Not in Compound,690000.0
23647,"Built in Kitchen Appliances,Security,Covered Parking,Electricity Meter,Landline,Elevator",3,2,175.0,1,4,Nasr City,Not in Compound,1650000.0
23648,"Balcony,Security,Elevator",3,3,116.0,0,3,Madinaty,Madinaty,1000000.0
23649,Balcony,3,2,150.0,0,8,Downtown Cairo,Not in Compound,600000.0
23650,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Elevator",3,2,175.0,0,10,Maadi,Not in Compound,1350000.0
23651,"Security,Electricity Meter,Water Meter,Elevator",3,2,175.0,0,7,Maadi,Not in Compound,800000.0
23652,No,3,2,143.0,0,2,Madinaty,Madinaty,2500000.0
23654,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,185.0,0,4,Zahraa Al Maadi,Not in Compound,1100000.0
23656,"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas",2,1,100.0,0,3,Maadi,Not in Compound,420000.0
23658,No,3,2,103.0,0,4,Madinaty,Not in Compound,1250000.0
23659,No,3,1,150.0,0,9,Nasr City,Not in Compound,1000000.0
23662,"Electricity Meter,Water Meter,Natural Gas",2,1,72.0,0,2,Badr City,Not in Compound,230000.0
23663,No,3,1,183.0,0,2,Katameya,Not in Compound,1200000.0
23664,"Balcony,Private Garden,Central A/C & heating,Security,Covered Parking,Pets Allowed",3,2,133.0,0,5,Madinaty,Not in Compound,1030000.0
23665,No,3,2,125.0,0,9,Gesr Al Suez,Not in Compound,320000.0
23666,Balcony,3,2,108.0,0,2,Rehab City,Not in Compound,1320000.0
23667,"Balcony,Pets Allowed,Security,Elevator",3,3,210.0,0,4,New Cairo - El Tagamoa,The Square,2500000.0
23668,Balcony,4,3,250.0,0,3,Rehab City,Not in Compound,3300000.0
23669,"Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,136.0,0,5,Madinaty,Madinaty,1600000.0
23670,Private Garden,3,2,275.0,0,0,New Cairo - El Tagamoa,Not in Compound,850000.0
23671,Balcony,2,1,96.0,0,0,Rehab City,Not in Compound,1600000.0
23672,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas",3,2,139.0,0,5,Madinaty,Madinaty,1800000.0
23673,No,3,1,155.0,0,2,Waili,Not in Compound,325000.0
23674,Balcony,2,1,56.0,0,5,Helwan,Not in Compound,85000.0
23676,"Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,105.0,0,0,Zahraa Al Maadi,Not in Compound,900000.0
23677,"Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,95.0,0,5,New Cairo - El Tagamoa,Not in Compound,420000.0
23678,Balcony,3,1,82.0,0,3,Shorouk City,Not in Compound,310000.0
23679,No,2,1,105.0,0,7,Maadi,Not in Compound,460000.0
23680,"Balcony,Private Garden,Electricity Meter,Water Meter",3,3,165.0,0,0,Shorouk City,Not in Compound,750000.0
23681,"Balcony,Security",3,1,96.0,0,5,Gesr Al Suez,Madinaty,1100000.0
23682,"Balcony,Electricity Meter,Water Meter",2,1,65.0,0,1,Shorouk City,Not in Compound,270000.0
23684,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,150.0,0,4,New Nozha,Not in Compound,1200000.0
23685,"Balcony,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,130.0,0,0,Shorouk City,Dar Misr,640000.0
23686,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,116.0,0,3,Madinaty,Madinaty,900000.0
23687,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,201.0,0,2,New Cairo - El Tagamoa,Not in Compound,2600000.0
23688,"Balcony,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Security,Water Meter,Natural Gas",3,3,215.0,0,1,New Cairo - El Tagamoa,Mountain View Hyde Park,2250000.0
23689,"Balcony,Covered Parking,Security,Water Meter",3,2,135.0,0,3,Rehab City,Not in Compound,1700000.0
23690,"Balcony,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,160.0,0,0,Maadi,Not in Compound,1550000.0
23692,No,3,2,162.0,0,3,New Cairo - El Tagamoa,The Square,1400000.0
23694,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,201.0,0,2,New Cairo - El Tagamoa,Not in Compound,2600000.0
23695,No,2,2,100.0,0,3,Downtown Cairo,Not in Compound,220000.0
23696,Balcony,3,3,195.0,0,1,Nasr City,Not in Compound,2300000.0
23697,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,116.0,0,4,Madinaty,Madinaty,1350000.0
23698,Balcony,3,2,115.0,0,4,New Cairo - El Tagamoa,Not in Compound,300000.0
23699,No,4,2,128.0,0,2,Hadayek Helwan,Not in Compound,590000.0
23700,"Balcony,Private Garden,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,82.0,0,0,Madinaty,Madinaty,470000.0
23701,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter",3,2,124.0,0,3,Katameya,Not in Compound,650000.0
23703,"Balcony,Built in Kitchen Appliances,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,186.0,1,2,New Cairo - El Tagamoa,Not in Compound,1350000.0
23704,No,2,2,90.0,1,3,Downtown Cairo,Not in Compound,1200000.0
23705,No,3,1,95.0,0,3,New Cairo - El Tagamoa,Not in Compound,750000.0
23707,"Electricity Meter,Natural Gas,Landline",2,1,72.0,0,4,Mokattam,Not in Compound,260000.0
23708,No,3,1,120.0,0,3,Nasr City,Not in Compound,850000.0
23709,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,150.0,0,7,Zahraa Al Maadi,Not in Compound,950000.0
23710,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,96.0,0,0,Madinaty,Not in Compound,1400000.0
23711,No,2,1,85.0,0,8,Obour City,Not in Compound,210000.0
23712,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,82.0,0,11,Shorouk City,Not in Compound,345000.0
23713,No,3,2,125.0,0,5,Helmeyat El Zaytoun,Not in Compound,1050000.0
23714,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,170.0,0,4,Mokattam,Not in Compound,1600000.0
23715,"Electricity Meter,Natural Gas,Landline",2,1,110.0,0,1,Mokattam,Not in Compound,580000.0
23716,No,2,1,105.0,0,4,Mokattam,Not in Compound,460000.0
23719,No,3,3,171.0,0,3,New Cairo - El Tagamoa,Not in Compound,1300000.0
23720,No,3,1,110.0,0,5,Downtown Cairo,Not in Compound,1100000.0
23721,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,185.0,1,3,New Cairo - El Tagamoa,Eastown,3500000.0
23722,No,4,3,202.0,0,3,New Cairo - El Tagamoa,Mountain View Hyde Park,2200000.0
23724,"Pets Allowed,Private Garden,Security,Electricity Meter",2,1,90.0,0,0,Madinaty,Madinaty,1300000.0
23725,"Balcony,Natural Gas,Elevator",3,2,240.0,0,6,Nasr City,Not in Compound,950000.0
23726,"Balcony,Elevator",3,3,170.0,0,4,Gesr Al Suez,Not in Compound,1400000.0
23727,No,3,2,180.0,0,3,Zahraa Al Maadi,Not in Compound,1850000.0
23728,No,3,2,135.0,0,3,Shorouk City,Not in Compound,450000.0
23729,"Balcony,Security,Pets Allowed,Natural Gas,Landline",3,2,130.0,0,2,Maadi,Not in Compound,700000.0
23730,No,2,1,120.0,0,10,Nasr City,Not in Compound,320000.0
23731,"Covered Parking,Electricity Meter,Water Meter",2,1,120.0,0,10,Sheraton,Not in Compound,1100000.0
23732,"Electricity Meter,Water Meter,Natural Gas",2,2,117.0,0,3,Rehab City,Rehab City,1650000.0
23734,"Elevator,Natural Gas,Water Meter,Electricity Meter,Security,Balcony",3,2,175.0,0,2,Nasr City,Not in Compound,1750000.0
23735,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",2,1,80.0,0,10,Ezbet El Nakhl,Not in Compound,500000.0
23737,"Natural Gas,Landline,Water Meter,Electricity Meter,Security,Balcony",2,1,86.0,0,0,Nasr City,Not in Compound,485000.0
23738,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,65.0,0,4,Madinaty,Madinaty,850000.0
23739,"Pets Allowed,Security",2,1,80.0,0,3,Downtown Cairo,Degla Palms,300000.0
23740,"Balcony,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Security,Water Meter,Natural Gas",3,3,215.0,0,1,New Cairo - El Tagamoa,Mountain View Hyde Park,2250000.0
23741,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,180.0,0,4,New Cairo - El Tagamoa,Not in Compound,1700000.0
23742,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,160.0,0,3,Nasr City,Not in Compound,1350000.0
23743,No,3,2,270.0,0,2,Nasr City,Not in Compound,1850000.0
23744,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,130.0,0,3,Hadayek al-Kobba,Not in Compound,900000.0
23745,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",2,2,165.0,0,7,Nasr City,Not in Compound,1150000.0
23746,"Balcony,Covered Parking,Pets Allowed,Security,Elevator",3,3,178.0,0,6,Madinaty,Madinaty,2000000.0
23747,Balcony,2,2,90.0,0,0,Madinaty,Madinaty,1500000.0
23748,"Balcony,Electricity Meter",3,2,185.0,0,3,Shorouk City,Not in Compound,750000.0
23749,"Balcony,Security,Landline,Natural Gas,Water Meter,Electricity Meter",2,2,96.0,0,1,Madinaty,Madinaty,1350000.0
23750,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,3,215.0,0,1,New Cairo - El Tagamoa,Not in Compound,2300000.0
23751,"Balcony,Security,Elevator",2,2,96.0,0,5,Madinaty,Madinaty,850000.0
23752,No,3,2,134.0,1,5,Maadi,Not in Compound,765000.0
23753,"Balcony,Natural Gas",4,1,140.0,0,5,Nasr City,Not in Compound,400000.0
23755,No,2,1,75.0,0,4,Marg,Not in Compound,180000.0
23756,"Built in Kitchen Appliances,Pets Allowed,Electricity Meter,Water Meter,Natural Gas",3,1,180.0,0,7,Helmeyat El Zaytoun,Not in Compound,1100000.0
23757,"Security,Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,135.0,0,2,Madinaty,Madinaty,1700000.0
23760,"Balcony,Electricity Meter,Natural Gas,Elevator",2,1,82.0,0,5,New Cairo - El Tagamoa,Madinaty,900000.0
23761,"Electricity Meter,Natural Gas,Landline",2,1,80.0,0,6,Marg,Not in Compound,180000.0
23763,Security,2,1,85.0,0,0,Maadi,Baron City,650000.0
23764,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,100.0,0,3,New Cairo - El Tagamoa,Not in Compound,525000.0
23765,"Electricity Meter,Water Meter,Natural Gas",2,1,70.0,0,4,Matareya,Not in Compound,190000.0
23766,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,133.0,0,2,Madinaty,Madinaty,1650000.0
23767,"Maids Room,Water Meter,Elevator",3,2,120.0,0,7,Helmeyat El Zaytoun,Not in Compound,600000.0
23768,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,185.0,0,2,New Cairo - El Tagamoa,Not in Compound,1630000.0
23769,"Balcony,Security",3,2,180.0,0,2,New Cairo - El Tagamoa,Not in Compound,1350000.0
23770,No,3,1,100.0,0,5,Heliopolis,Not in Compound,1000000.0
23771,"Balcony,Security,Covered Parking,Electricity Meter,Natural Gas,Landline,Elevator",2,1,125.0,1,4,Helwan,Not in Compound,450000.0
23773,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,130.0,1,6,Sheraton,Not in Compound,800000.0
23774,No,3,2,200.0,1,4,Mokattam,Not in Compound,1600000.0
23775,"Electricity Meter,Water Meter,Natural Gas",2,1,65.0,0,4,Downtown Cairo,Not in Compound,100000.0
23776,Balcony,3,2,143.0,0,4,Ezbet El Nakhl,Not in Compound,330000.0
23777,No,2,1,90.0,0,10,Matareya,Not in Compound,800.0
23778,No,3,1,100.0,0,8,Gesr Al Suez,Not in Compound,300000.0
23779,"Balcony,Electricity Meter",3,2,180.0,0,1,Nasr City,Not in Compound,800000.0
23781,Balcony,2,1,110.0,0,5,Helwan,Not in Compound,650000.0
23782,"Balcony,Electricity Meter,Natural Gas",2,1,70.0,0,0,Badr City,Not in Compound,160000.0
23783,No,2,1,75.0,0,1,Badr City,Not in Compound,350000.0
23785,"Balcony,Electricity Meter,Elevator",3,2,140.0,0,5,Sheraton,Not in Compound,1400000.0
23786,No,4,2,210.0,0,9,Nasr City,Not in Compound,1400000.0
23787,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,82.0,0,2,Shorouk City,Not in Compound,365000.0
23788,"Electricity Meter,Water Meter,Natural Gas,Landline",3,2,170.0,0,3,New Cairo - El Tagamoa,Not in Compound,1400000.0
23789,Balcony,2,1,66.0,0,2,Obour City,Not in Compound,250000.0
23790,"Balcony,Built in Kitchen Appliances,Security",4,3,240.0,0,5,Nasr City,Not in Compound,1650000.0
23792,No,3,2,175.0,0,2,Mokattam,Not in Compound,820000.0
23793,"Balcony,Pets Allowed,Elevator",3,3,245.0,0,10,Nasr City,Not in Compound,1900000.0
23795,"Balcony,Covered Parking,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,230.0,0,5,Heliopolis,Not in Compound,1000.0
23796,No,2,1,140.0,0,4,Helwan,Not in Compound,800000.0
23797,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Elevator",2,2,96.0,0,5,Madinaty,Madinaty,1050000.0
23798,"Balcony,Security,Electricity Meter",3,2,135.0,0,2,Rehab City,Not in Compound,2000000.0
23799,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,201.0,0,2,New Cairo - El Tagamoa,Not in Compound,2600000.0
23801,No,3,2,124.0,0,1,Madinaty,Not in Compound,1330000.0
23802,No,3,2,150.0,0,0,Obour City,Not in Compound,800000.0
23803,"Balcony,Security,Electricity Meter",2,1,77.0,0,3,Nasr City,Not in Compound,360000.0
23804,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,80.0,0,3,Helmeyat El Zaytoun,Not in Compound,550000.0
23805,"Balcony,Covered Parking,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas",3,3,160.0,0,0,Rehab City,Not in Compound,2600000.0
23806,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Elevator",4,2,150.0,0,1,Downtown Cairo,Not in Compound,350000.0
23807,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator,Maids Room",3,3,160.0,0,0,Madinaty,Madinaty,2550000.0
23808,"Balcony,Electricity Meter,Water Meter",2,1,55.0,0,4,Ain Shams,Not in Compound,140000.0
23809,No,2,1,120.0,0,2,Maadi,Not in Compound,550000.0
23810,Balcony,2,2,160.0,0,4,Maadi,Not in Compound,920000.0
23811,"Private Garden,Security",3,3,154.0,0,0,Matareya,Not in Compound,650000.0
23812,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline",3,2,124.0,0,1,Nasr City,Not in Compound,1300000.0
23814,"Balcony,Electricity Meter,Natural Gas,Landline",3,2,150.0,0,4,Ain Shams,Not in Compound,1100000.0
23815,"Built in Kitchen Appliances,Natural Gas,Landline,Elevator,Electricity Meter",3,1,145.0,0,3,Nasr City,Not in Compound,1000000.0
23816,Balcony,2,2,110.0,0,8,Heliopolis,Not in Compound,455000.0
23817,No,3,2,148.0,0,3,Heliopolis,Not in Compound,2000000.0
23818,"Balcony,Natural Gas,Elevator",3,2,240.0,0,6,Nasr City,Not in Compound,950000.0
23819,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,190.0,0,5,Hadayek Helwan,Not in Compound,750000.0
23820,Electricity Meter,4,2,117.0,0,3,Downtown Cairo,Not in Compound,1500.0
23821,"Balcony,Covered Parking,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,157.0,0,0,New Cairo - El Tagamoa,Galleria Moon Valley,2450000.0
23825,"Balcony,Covered Parking,Maids Room,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,155.0,0,1,Matareya,Not in Compound,1000000.0
23826,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,120.0,0,7,Ain Shams,Not in Compound,380000.0
23827,No,3,2,190.0,0,4,Zahraa Al Maadi,Not in Compound,2150000.0
23829,"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,85.0,0,3,Ain Shams,Not in Compound,375000.0
23830,"Electricity Meter,Water Meter,Natural Gas",2,1,100.0,0,1,Abasiya,Not in Compound,750000.0
23831,"Balcony,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,210.0,0,1,Obour City,Not in Compound,1150000.0
23832,No,3,1,100.0,0,3,New Cairo - El Tagamoa,Not in Compound,530000.0
23833,"Balcony,Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,119.0,0,5,Rehab City,Not in Compound,1650000.0
23834,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",4,1,120.0,0,2,Hadayek al-Kobba,Not in Compound,310000.0
23835,Balcony,2,2,126.0,0,3,Obour City,Not in Compound,700000.0
23836,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,96.0,0,2,Nasr City,Not in Compound,700000.0
23838,"Balcony,Security",3,2,123.0,0,4,Rehab City,Rehab City,1420000.0
23839,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter",3,2,96.0,0,0,Madinaty,Madinaty,750000.0
23841,"Balcony,Covered Parking,Electricity Meter,Water Meter,Landline",3,2,163.0,0,2,Obour City,Not in Compound,900000.0
23843,"Electricity Meter,Water Meter,Landline,Elevator",3,3,210.0,0,2,New Cairo - El Tagamoa,Not in Compound,2500000.0
23844,No,3,2,175.0,1,6,Heliopolis,Not in Compound,1550000.0
23846,"Balcony,Elevator",3,3,180.0,0,3,Rehab City,Rehab City,1600000.0
23847,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,1,Obour City,Not in Compound,475000.0
23848,"Balcony,Covered Parking,Pets Allowed,Private Garden,Security,Electricity Meter,Elevator",3,2,167.0,0,0,New Cairo - El Tagamoa,Not in Compound,1550000.0
23849,No,2,2,105.0,1,4,Maadi,Not in Compound,630000.0
23850,"Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,2,135.0,0,3,Madinaty,Madinaty,1600000.0
23851,No,1,1,59.0,1,0,Rehab City,Rehab City,1100000.0
23852,"Landline,Natural Gas,Water Meter,Electricity Meter,Security,Central A/C & heating",3,2,107.0,1,1,Rehab City,Rehab City,1950000.0
23853,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator,Pets Allowed",2,1,82.0,0,1,Madinaty,Madinaty,820000.0
23854,"Balcony,Electricity Meter,Water Meter",3,2,190.0,0,2,Obour City,Not in Compound,800000.0
23855,No,2,1,130.0,0,1,Obour City,Not in Compound,540000.0
23856,No,3,1,100.0,0,2,Helwan,Not in Compound,600000.0
23858,No,3,2,200.0,0,2,Obour City,Not in Compound,1100000.0
23859,"Balcony,Electricity Meter",3,2,155.0,0,1,Shorouk City,Not in Compound,575000.0
23860,"Balcony,Electricity Meter,Water Meter",3,3,215.0,0,1,Obour City,Not in Compound,940000.0
23861,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,75.0,0,2,New Cairo - El Tagamoa,Not in Compound,495000.0
23862,"Balcony,Private Garden,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,210.0,0,0,Obour City,Not in Compound,1150000.0
23863,No,3,1,115.0,0,4,New Cairo - El Tagamoa,Not in Compound,15000.0
23864,"Balcony,Water Meter,Natural Gas,Landline",3,2,200.0,0,1,Obour City,Not in Compound,1250000.0
23865,"Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,89.0,0,2,Madinaty,Not in Compound,950000.0
23866,"Electricity Meter,Water Meter,Natural Gas",3,1,90.0,0,1,Nasr City,Not in Compound,275000.0
23867,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,132.0,0,2,Madinaty,Madinaty,1600000.0
23868,Security,2,1,75.0,0,5,Zawya al-Hamra,Not in Compound,260000.0
23869,No,3,2,140.0,0,1,Badr City,Not in Compound,350000.0
23870,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,150.0,0,4,New Cairo - El Tagamoa,Not in Compound,495000.0
23871,"Balcony,Security,Covered Parking,Water Meter,Elevator",3,1,131.0,0,4,Rehab City,Rehab City,1900000.0
23872,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter",2,1,107.0,0,1,Rehab City,Not in Compound,1650000.0
23873,"Security,Pets Allowed,Landline,Elevator",3,2,130.0,0,3,New Cairo - El Tagamoa,Dar Misr,530000.0
23874,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,145.0,0,8,New Nozha,Not in Compound,800000.0
23875,"Balcony,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool",3,2,165.0,0,1,Zahraa Al Maadi,Not in Compound,1400000.0
23876,Balcony,2,1,80.0,0,1,New Cairo - El Tagamoa,Not in Compound,2500.0
23878,No,2,1,95.0,0,4,Obour City,Not in Compound,700000.0
23879,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas",2,2,90.0,0,0,Madinaty,Not in Compound,930000.0
23881,No,3,1,90.0,0,3,Salam City,Not in Compound,350000.0
23883,No,2,1,65.0,0,0,Shorouk City,Not in Compound,210000.0
23884,No,3,2,130.0,0,1,New Cairo - El Tagamoa,Dar Misr,770000.0
23885,No,3,1,130.0,0,9,Helmeyat El Zaytoun,Not in Compound,1050000.0
23886,"Balcony,Electricity Meter,Water Meter",2,1,65.0,0,3,Shorouk City,Not in Compound,255000.0
23887,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",4,1,120.0,0,1,Ain Shams,Not in Compound,260000.0
23888,"Balcony,Electricity Meter,Water Meter,Natural Gas",3,1,80.0,0,3,Shorouk City,Not in Compound,310000.0
23889,"Balcony,Electricity Meter,Water Meter,Elevator",2,1,100.0,0,10,Ain Shams,Not in Compound,320000.0
23890,No,4,1,94.0,0,4,Salam City,Not in Compound,280000.0
23892,No,3,3,280.0,1,9,Nasr City,Not in Compound,2300000.0
23893,Balcony,3,3,150.0,0,1,Nasr City,Not in Compound,1600000.0
23894,"Balcony,Private Garden,Elevator",3,2,136.0,0,0,New Heliopolis,Not in Compound,650000.0
23896,"Balcony,Security,Electricity Meter,Natural Gas,Elevator",3,2,150.0,0,5,New Nozha,Not in Compound,1050000.0
23897,"Balcony,Pool",2,1,80.0,0,2,Hadayek al-Kobba,Not in Compound,200000.0
23898,"Pets Allowed,Electricity Meter,Natural Gas,Landline",3,2,150.0,0,3,Obour City,Not in Compound,500000.0
23899,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,2,200.0,0,0,Zahraa Al Maadi,Not in Compound,1800000.0
23900,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Electricity Meter,Elevator",3,3,170.0,1,6,Maadi,Not in Compound,2350000.0
23901,"Balcony,Built in Kitchen Appliances,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter",2,1,100.0,0,0,Rehab City,Not in Compound,1250000.0
23902,No,3,1,155.0,0,4,Helmeyat El Zaytoun,Not in Compound,830000.0
23903,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,120.0,0,6,Heliopolis,Not in Compound,800000.0
23904,"Balcony,Security,Covered Parking,Pets Allowed,Water Meter,Natural Gas,Landline,Elevator",3,3,162.0,0,4,Rehab City,Rehab City,2350000.0
23905,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,260.0,0,4,Heliopolis,Not in Compound,2500000.0
23906,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,135.0,0,3,Maadi,Not in Compound,2300000.0
23907,No,3,1,145.0,0,3,Obour City,Not in Compound,850000.0
23908,"Balcony,Electricity Meter,Water Meter,Landline",3,2,180.0,0,2,Obour City,Not in Compound,750000.0
23909,"Balcony,Elevator,Landline,Natural Gas,Water Meter,Electricity Meter,Security",3,3,208.0,0,2,Madinaty,Not in Compound,1015000.0
23910,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,170.0,0,1,Nasr City,Not in Compound,1250000.0
23911,"Balcony,Elevator",3,2,140.0,0,4,New Cairo - El Tagamoa,Not in Compound,800000.0
23912,"Balcony,Electricity Meter,Water Meter,Landline",3,2,200.0,0,1,Obour City,Not in Compound,975000.0
