,title,location,bedrooms,bathrooms,area,price,compound
8837,ارخص شقه في مشروع المراسم بسعر 2017 و تم تسليمها,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,156,1400000.0,0
8838,"""بدون اوفر"" شقة للبيع في "" ايست تاون - سوديك ""","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,154,2510000.0,1
8839,استوديومميز للبيع في التجمع الخامس القاهرة الجديدة,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,1,82,2400000.0,1
8840,شقة بالحي الــ 5 بيت الوطن -علي شارع رئيسي -بحري,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,230,1380000.0,0
8841,فرصه !!للبيع شقق بأقل الأسعار  في اميز مواقع م الجديده.,"Al Nozha St., Almazah, Heliopolis - Masr El Gedida, Cairo",3,3,268,2450000.0,0
8842,شقه مميزه ١٠٣م خطوات من اولاد رجب لقطه,"Madinaty, Cairo",3,2,103,1150000.0,0
8843,شقه للبيع في التجمع الخامس  بيت الوطن مساحه 153,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,153,1020000.0,0
8844,شفة 109 متر في مدينتي B2 للبيع بسعر مغري,"Madinaty, Cairo",2,1,109,1095000.0,0
8845,القاهرة الجديده - التجمع الخامس - منطقه الاندلس,"Al Andalus Buildings, Al Andalus District, New Cairo City, Cairo",3,3,167,1250000.0,0
8846,شقه 196م فيو مفتوح فى البنفسج بالقرب من water way,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",3,3,196,1675000.0,0
8847,للبيع شقة  بالروف بفيلات البنفسج مقدم تصالح,"Omar Khorshid St., El Banafseg 10, El Banafseg, New Cairo City, Cairo",3,2,210,1450000.0,0
8848,تملك شقة بمساحة فيلا بأفضل مواقع التجمع قسط 3سنوات,"South Lotus, El Lotus, New Cairo City, Cairo",3,3,326,2200000.0,0
